cluster,traders,total_cluster_pnl,avg_wallet_pnl,median_wallet_pnl,avg_trades,avg_win_rate,avg_roi,avg_short_share,avg_active_days,avg_coins,avg_volume,cluster_label
0,7,2943985.9783860003,420569.4254837143,308975.869716,4718.428571428572,0.9013406372182404,0.014056392404315162,0.8436107947636303,58.57142857142857,7.571428571428571,57064331.970000006,Volume-First Short Specialists
1,7,3806942.102162,543848.8717374286,168658.004994,8077.714285714285,0.7972901128100446,0.05523965140753939,0.5629197522802853,133.42857142857142,66.57142857142857,13710069.200000001,Diversified Alpha Scalers
2,12,2584591.835867,215382.65298891664,43636.2448295,1089.25,0.7821214718175638,-0.007351376620600802,0.4510895696160093,21.416666666666668,12.0,7772418.061666667,Opportunistic Swing Traders
3,6,918967.032891,153161.17214850002,90788.850522,293.0,0.9875863021264845,0.32820018265360956,0.819848721961398,15.166666666666666,8.5,613624.9533333333,Precision Snipers
