classification,close_trades,traders,total_pnl,avg_pnl,median_pnl,win_rate,avg_roi,gross_volume,pnl_per_million_volume
Extreme Greed,20853,28,2715171.310673,130.20530910051312,8.53074,0.8916702632714717,0.07674144550347574,57962240.42,46843.79504654419
Fear,29808,32,3357155.441642,112.62598770940687,6.3504830000000005,0.8728864734299517,0.03196653928079784,239690314.39,14006.220694339672
Greed,25176,31,2150129.272951,85.40392727005879,4.9276,0.7689068954559898,0.03925311363433127,136924000.33,15703.085417961653
Neutral,18159,29,1292920.67555,71.19999314664905,4.583458,0.8238889806707418,0.02062013961152537,100899481.73,12813.94763760795
Extreme Fear,10406,30,739110.24849,71.02731582644628,6.38805,0.7621564482029598,0.008887034347863386,56895537.78,12990.654053538326
