date,total_pnl,close_trades,traders,volume,avg_roi,short_share,classification,value,prev_classification,transition
2024-05-10,2101.741695,6,1,60893.869999999995,0.034489464263794255,0.0,Greed,66,Greed,Greed -> Greed
2024-05-11,251.604742,9,1,63248.95,0.003969500639528391,1.0,Neutral,53,Greed,Greed -> Neutral
2024-05-13,2136.853859,10,1,86146.39,0.02477758384317468,1.0,Greed,57,Neutral,Neutral -> Greed
2024-05-14,1150.5233050000002,4,1,61842.23,0.018625983908325018,0.0,Greed,66,Greed,Greed -> Greed
2024-05-15,948.970582,17,1,144916.45,0.0072099711910410475,0.8823529411764706,Greed,64,Greed,Greed -> Greed
2024-05-16,214.5898,5,1,62783.14,0.0034248899462296133,0.0,Greed,70,Greed,Greed -> Greed
2024-05-18,3522.3946610000003,16,1,96305.06,0.03050543530489743,0.5625,Greed,73,Greed,Greed -> Greed
2024-05-20,-74.818442,3,1,5121.35,-0.013362906902816218,1.0,Greed,70,Greed,Greed -> Greed
2024-05-21,7289.397571999999,25,2,382045.7,0.012179391578900314,0.56,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-05-23,413.347329,156,1,179528.69,0.0041935551302008135,0.1858974358974359,Extreme Greed,76,Extreme Greed,Extreme Greed -> Extreme Greed
2024-05-24,821.949278,2,1,50811.899999999994,0.016077878282539912,1.0,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-05-25,14.126038999999999,5,1,2484.91,0.00568165429622614,0.0,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-05-26,778.6839,4,2,26275.27,0.02409552002710223,0.5,Extreme Greed,75,Extreme Greed,Extreme Greed -> Extreme Greed
2024-05-27,1129.35587,93,1,76102.26,0.014788675593773302,0.0,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-05-29,277.791953,71,1,26337.69,0.009198005674077884,0.16901408450704225,Greed,72,Greed,Greed -> Greed
2024-05-30,20.951433,5,1,1783.32,0.01144109901659604,0.0,Greed,73,Greed,Greed -> Greed
2024-05-31,25.35812,4,1,1805.3799999999999,0.012880305194537459,0.0,Greed,73,Greed,Greed -> Greed
